node_id,consensus_module,mean_within,median_within,sd_within
PYO_84,2,0.18026315789473685,0.18,0.02908487277884164
PYO_88,2,0.18296052631578946,0.18,0.025141965337909276
PYO_93,2,0.17480263157894738,0.175,0.026663843052264418
FG_044,3,0.17157534246575343,0.17,0.02526081605978097
FG_052,3,0.1776027397260274,0.175,0.025098550049990384
FG_053,3,0.1852054794520548,0.185,0.027124178893926185
FG_058,3,0.1734931506849315,0.17,0.02492607029222797
FG_069,3,0.1863013698630137,0.185,0.02389251680356265
FG_071,3,0.18493150684931506,0.185,0.027770052198128076
FG_078,3,0.18595890410958904,0.19,0.02585560242114118
FG_082,3,0.18554794520547946,0.185,0.02477063735324234
FG_108,3,0.18897260273972602,0.185,0.02817306268738304
FG_111,3,0.18801369863013698,0.185,0.027685482131477486
FG_121,3,0.18226027397260275,0.18,0.025152881101410115
FG_122,3,0.18417808219178083,0.18,0.023259014062505256
FG_129,3,0.1826027397260274,0.18,0.025001522023684098
FG_131,3,0.17863013698630137,0.175,0.026799930995617564
FG_140,3,0.19027397260273973,0.19,0.026508520786287126
FG_142,3,0.1795890410958904,0.175,0.02543719696321727
FG_144,3,0.1889041095890411,0.185,0.027816943469544303
FG_147,3,0.1726027397260274,0.17,0.02536004059650372
FG_148,3,0.17828767123287673,0.175,0.026695546576189857
FG_149,3,0.19136986301369863,0.185,0.02635574302232346
FG_150,3,0.17753424657534247,0.175,0.02453913099055648
FG_160,3,0.1806164383561644,0.18,0.026678971190905676
FG_162,3,0.18438356164383563,0.185,0.027887985334681262
FG_170,3,0.18342465753424658,0.185,0.024732972710881308
FG_171,3,0.17904109589041095,0.175,0.02733101532659085
FG_172,3,0.1841095890410959,0.18,0.025308409693571343
FG_177,3,0.18431506849315069,0.185,0.03135056118243463
FG_045,3,0.17965753424657535,0.18,0.027109971094128913
FG_046,3,0.18773972602739727,0.19,0.02908370458084937
FG_059,3,0.17849315068493152,0.18,0.0255452340019247
FG_076,3,0.17404109589041095,0.175,0.025449535226144866
FG_087,3,0.18404109589041096,0.185,0.022183851957476478
FG_090,3,0.18198630136986302,0.185,0.02555956721871313
FG_093,3,0.18472602739726027,0.185,0.02498458428821249
FG_094,3,0.1782191780821918,0.18,0.02647548476911259
FG_003,3,0.17595890410958903,0.18,0.02671424836017309
FG_005,3,0.17417808219178083,0.175,0.026273318989335413
FG_006,3,0.1863013698630137,0.185,0.026900374290821705
FG_007,3,0.1780821917808219,0.185,0.025476434331367624
FG_017,3,0.16739726027397261,0.165,0.025510204780542344
FG_018,3,0.1860958904109589,0.185,0.028250449545863494
FG_022,3,0.18636986301369862,0.185,0.02802851070750949
FG_024,3,0.19116438356164384,0.19,0.02630642807937409
FG_031,3,0.18356164383561643,0.185,0.02811780095586437
FG_034,3,0.18787671232876713,0.19,0.028745987742001804
FG_035,3,0.17315068493150684,0.175,0.024173947887525474
FG_038,3,0.17431506849315068,0.175,0.02818977193964386
FG_039,3,0.19116438356164384,0.195,0.025907427988164866
FG_043,3,0.18753424657534246,0.185,0.025861856399693278
PYO_14,3,0.17945205479452056,0.18,0.025934769184699186
PYO_15,3,0.18,0.18,0.02801289385661935
PYO_21,3,0.18883561643835617,0.19,0.02514569418554714
