pyo_id,original_pyov_id,syn_groups,syn_group
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_40,61,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_41,62,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_42,63,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_43,64,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_44,65,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,53
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,54
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,55
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,56
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,57
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,58
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,59
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,60
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,61
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,62
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,63
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,64
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,65
PYO_45,66,53;54;55;56;57;58;59;60;61;62;63;64;65;66,66
PYO_46,68,68,68
PYO_47,69,69;70,69
PYO_47,69,69;70,70
PYO_48,70,69;70,69
PYO_48,70,69;70,70
PYO_49,85,85,85
PYO_50,87,87;88;89,87
PYO_50,87,87;88;89,88
PYO_50,87,87;88;89,89
PYO_51,88,87;88;89,87
PYO_51,88,87;88;89,88
PYO_51,88,87;88;89,89
PYO_52,89,87;88;89,87
PYO_52,89,87;88;89,88
PYO_52,89,87;88;89,89
PYO_53,97,97;98,97
PYO_53,97,97;98,98
PYO_54,98,97;98,97
PYO_54,98,97;98,98
PYO_55,103,103;104;105,103
PYO_55,103,103;104;105,104
PYO_55,103,103;104;105,105
PYO_56,104,103;104;105,103
PYO_56,104,103;104;105,104
PYO_56,104,103;104;105,105
PYO_57,105,103;104;105,103
PYO_57,105,103;104;105,104
PYO_57,105,103;104;105,105
PYO_58,113,113;114;115;116;117;118;119;120,113
PYO_58,113,113;114;115;116;117;118;119;120,114
