pyo_id,pyov_label,original_pyov_id,pair_index,n_syn_groups,n_rec_groups,syn_groups_csv,rec_groups_csv,fg_production_count,strain_production_count,fg_utilization_count,strain_utilization_count
PYO_38,pyov_59,59,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_39,pyov_60,60,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_40,pyov_61,61,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_41,pyov_62,62,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_42,pyov_63,63,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_43,pyov_64,64,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,1,61,272
PYO_44,pyov_65,65,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,4,61,272
PYO_45,pyov_66,66,1,14,34,53;54;55;56;57;58;59;60;61;62;63;64;65;66,6178;6179;6180;6181;6182;6183;6184;6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6199;6200;6201;6202;6203;6204;6205;6206;6207;6208;6209;6210;6211,1,3,61,272
PYO_46,pyov_68,68,23,1,1,68,945,6,13,6,13
PYO_47,pyov_69,69,20,2,4,69;70,5762;5763;5764;5765,1,3,4,18
PYO_48,pyov_70,70,20,2,4,69;70,5762;5763;5764;5765,1,2,4,18
PYO_49,pyov_85,85,25,1,2,85,5251;5252,4,11,4,11
PYO_50,pyov_87,87,10,3,13,87;88;89,1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438,7,21,25,55
PYO_51,pyov_88,88,10,3,13,87;88;89,1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438,1,2,25,55
PYO_52,pyov_89,89,10,3,13,87;88;89,1426;1427;1428;1429;1430;1431;1432;1433;1434;1435;1436;1437;1438,1,1,25,55
PYO_53,pyov_97,97,18,2,2,97;98,5256;5257,1,9,9,34
PYO_54,pyov_98,98,18,2,2,97;98,5256;5257,2,2,9,34
PYO_55,pyov_103,103,15,3,1,103;104;105,5473,1,1,4,19
PYO_56,pyov_104,104,15,3,1,103;104;105,5473,1,2,4,19
PYO_57,pyov_105,105,15,3,1,103;104;105,5473,2,16,4,19
PYO_58,pyov_113,113,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,1,1,14,49
PYO_59,pyov_114,114,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,1,1,14,49
PYO_60,pyov_115,115,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,3,25,14,49
PYO_61,pyov_116,116,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,1,2,14,49
PYO_62,pyov_117,117,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,2,7,14,49
PYO_63,pyov_118,118,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,1,4,14,49
PYO_64,pyov_119,119,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,1,1,14,49
PYO_65,pyov_120,120,2,8,6,113;114;115;116;117;118;119;120,2685;2686;2687;2688;2689;2690,1,2,14,49
PYO_66,pyov_216,216,22,1,9,216,337;338;339;340;341;342;343;344;345,2,5,11,37
PYO_67,pyov_218,218,5,6,10,218;219;220;221;222;223,5737;5738;5739;5740;5741;5742;5743;5744;5745;5746,2,3,9,18
PYO_68,pyov_219,219,5,6,10,218;219;220;221;222;223,5737;5738;5739;5740;5741;5742;5743;5744;5745;5746,1,1,9,18
PYO_69,pyov_220,220,5,6,10,218;219;220;221;222;223,5737;5738;5739;5740;5741;5742;5743;5744;5745;5746,1,1,9,18
PYO_70,pyov_221,221,5,6,10,218;219;220;221;222;223,5737;5738;5739;5740;5741;5742;5743;5744;5745;5746,1,3,9,18
PYO_71,pyov_222,222,5,6,10,218;219;220;221;222;223,5737;5738;5739;5740;5741;5742;5743;5744;5745;5746,1,1,9,18
PYO_72,pyov_223,223,5,6,10,218;219;220;221;222;223,5737;5738;5739;5740;5741;5742;5743;5744;5745;5746,1,4,9,18
PYO_73,pyov_228,228,12,3,1,228;229;230,4698,2,4,4,6
PYO_74,pyov_229,229,12,3,1,228;229;230,4698,1,1,4,6
PYO_75,pyov_230,230,12,3,1,228;229;230,4698,1,1,4,6
PYO_76,pyov_249,249,6,4,3,249;250;251;252,4642;4643;4644,1,13,7,52
PYO_77,pyov_250,250,6,4,3,249;250;251;252,4642;4643;4644,2,28,7,52
PYO_78,pyov_251,251,6,4,3,249;250;251;252,4642;4643;4644,1,4,7,52
PYO_79,pyov_252,252,6,4,3,249;250;251;252,4642;4643;4644,2,6,7,52
PYO_80,pyov_255,255,24,1,2,255,4534;4535,3,13,5,16
PYO_81,pyov_264,264,13,3,8,264;265;266,4735;4736;4737;4738;4739;4740;4741;4742,2,2,13,84
PYO_82,pyov_265,265,13,3,8,264;265;266,4735;4736;4737;4738;4739;4740;4741;4742,1,1,13,84
PYO_83,pyov_266,266,13,3,8,264;265;266,4735;4736;4737;4738;4739;4740;4741;4742,1,2,13,84
PYO_84,pyov_267,267,8,4,1,267;268;269;270,5558,1,1,4,10
PYO_85,pyov_268,268,8,4,1,267;268;269;270,5558,1,1,4,10
PYO_86,pyov_269,269,8,4,1,267;268;269;270,5558,1,2,4,10
PYO_87,pyov_270,270,8,4,1,267;268;269;270,5558,1,6,4,10
PYO_88,pyov_273,273,21,2,1,273;274,5311,4,65,5,66
PYO_89,pyov_274,274,21,2,1,273;274,5311,1,1,5,66
PYO_90,pyov_275,275,7,4,14,275;276;277;278,5229;5230;5231;5232;5233;5234;5235;5236;5237;5238;5239;5240;5241;5242,3,108,38,297
PYO_91,pyov_276,276,7,4,14,275;276;277;278,5229;5230;5231;5232;5233;5234;5235;5236;5237;5238;5239;5240;5241;5242,3,53,38,297
PYO_92,pyov_277,277,7,4,14,275;276;277;278,5229;5230;5231;5232;5233;5234;5235;5236;5237;5238;5239;5240;5241;5242,2,3,38,297
PYO_93,pyov_278,278,7,4,14,275;276;277;278,5229;5230;5231;5232;5233;5234;5235;5236;5237;5238;5239;5240;5241;5242,1,1,38,297
