"pair","ARI"
"rep9_rep10",0.0841537506250781
"rep9_rep11",0.11732906908774
"rep9_rep12",0.0624769163203462
"rep9_rep13",0.106431897101169
"rep9_rep14",0.0733153334727121
"rep9_rep15",0.150020585047454
"rep9_rep16",0.127507419234542
"rep9_rep17",0.11732906908774
"rep9_rep18",0.128226241074311
"rep9_rep19",0.084637553128027
"rep9_rep20",0.0632134949669636
"rep10_rep11",0.10583058492981
"rep10_rep12",0.0836748652129075
"rep10_rep13",0.149184253539274
"rep10_rep14",0.202258117950061
"rep10_rep15",0.0841537506250781
"rep10_rep16",0.191477822246683
"rep10_rep17",0.116669002082176
"rep10_rep18",0.10583058492981
"rep10_rep19",0.127507419234542
"rep10_rep20",0.139123671387123
"rep11_rep12",0.116669002082176
"rep11_rep13",0.128226241074311
"rep11_rep14",0.149184253539274
"rep11_rep15",0.171814929020596
"rep11_rep16",0.10583058492981
"rep11_rep17",0.139123413060883
"rep11_rep18",0.0955347251145981
"rep11_rep19",0.084637553128027
"rep11_rep20",0.183735735380571
"rep12_rep13",0.181699504996371
"rep12_rep14",0.126796048026418
"rep12_rep15",0.203376339301103
"rep12_rep16",0.07289456950953
"rep12_rep17",0.149184253539274
"rep12_rep18",0.170861087844006
"rep12_rep19",0.116669002082176
"rep12_rep20",0.139123671387123
"rep13_rep14",0.127507419234542
"rep13_rep15",0.193609272993738
"rep13_rep16",0.181699504996371
"rep13_rep17",0.139123413060883
"rep13_rep18",0.150020585047454
"rep13_rep19",0.0955347251145981
"rep13_rep20",0.0960831968979474
"rep14_rep15",0.138345836386908
"rep14_rep16",0.191477822246683
"rep14_rep17",0.149184253539274
"rep14_rep18",0.0299616648632484
"rep14_rep19",0.170861087844006
"rep14_rep20",0.16091800882036
"rep15_rep16",0.181699504996371
"rep15_rep17",0.139123413060883
"rep15_rep18",0.0955347251145981
"rep15_rep19",0.0955347251145981
"rep15_rep20",0.107039764208275
"rep16_rep17",0.10583058492981
"rep16_rep18",0.10583058492981
"rep16_rep19",0.094992167777444
"rep16_rep20",0.128226502670504
"rep17_rep18",0.160917757034025
"rep17_rep19",0.0628432091548848
"rep17_rep20",0.205648870001226
"rep18_rep19",0.11732906908774
"rep18_rep20",0.117996331518603
"rep19_rep20",0.117996331518603
