source,target,source_type,target_type,edge_type
STR_0754,PYO_12,strain,pyoverdine,production
STR_0755,PYO_12,strain,pyoverdine,production
STR_0757,PYO_12,strain,pyoverdine,production
STR_0758,PYO_12,strain,pyoverdine,production
STR_0759,PYO_12,strain,pyoverdine,production
STR_0760,PYO_12,strain,pyoverdine,production
STR_0761,PYO_12,strain,pyoverdine,production
STR_0762,PYO_12,strain,pyoverdine,production
STR_0763,PYO_12,strain,pyoverdine,production
STR_0764,PYO_12,strain,pyoverdine,production
STR_0765,PYO_12,strain,pyoverdine,production
STR_0766,PYO_12,strain,pyoverdine,production
STR_0767,PYO_12,strain,pyoverdine,production
STR_0768,PYO_12,strain,pyoverdine,production
STR_0769,PYO_12,strain,pyoverdine,production
STR_0770,PYO_12,strain,pyoverdine,production
STR_0771,PYO_12,strain,pyoverdine,production
STR_0772,PYO_12,strain,pyoverdine,production
STR_0773,PYO_12,strain,pyoverdine,production
STR_0774,PYO_12,strain,pyoverdine,production
STR_0775,PYO_12,strain,pyoverdine,production
STR_0776,PYO_12,strain,pyoverdine,production
STR_0777,PYO_12,strain,pyoverdine,production
STR_0778,PYO_12,strain,pyoverdine,production
STR_0779,PYO_12,strain,pyoverdine,production
STR_0780,PYO_12,strain,pyoverdine,production
STR_0781,PYO_12,strain,pyoverdine,production
STR_0782,PYO_12,strain,pyoverdine,production
STR_0783,PYO_12,strain,pyoverdine,production
STR_0784,PYO_12,strain,pyoverdine,production
STR_0785,PYO_12,strain,pyoverdine,production
STR_0786,PYO_12,strain,pyoverdine,production
STR_0787,PYO_12,strain,pyoverdine,production
STR_0788,PYO_12,strain,pyoverdine,production
STR_0789,PYO_12,strain,pyoverdine,production
STR_0790,PYO_12,strain,pyoverdine,production
STR_0791,PYO_12,strain,pyoverdine,production
STR_0792,PYO_12,strain,pyoverdine,production
STR_0793,PYO_12,strain,pyoverdine,production
STR_0794,PYO_12,strain,pyoverdine,production
STR_0795,PYO_12,strain,pyoverdine,production
STR_0796,PYO_12,strain,pyoverdine,production
STR_0797,PYO_12,strain,pyoverdine,production
STR_0798,PYO_12,strain,pyoverdine,production
STR_0799,PYO_12,strain,pyoverdine,production
STR_0800,PYO_12,strain,pyoverdine,production
STR_0801,PYO_12,strain,pyoverdine,production
STR_0802,PYO_12,strain,pyoverdine,production
STR_0803,PYO_12,strain,pyoverdine,production
STR_0804,PYO_12,strain,pyoverdine,production
STR_0805,PYO_12,strain,pyoverdine,production
STR_0806,PYO_12,strain,pyoverdine,production
STR_0807,PYO_12,strain,pyoverdine,production
STR_0808,PYO_12,strain,pyoverdine,production
STR_0809,PYO_12,strain,pyoverdine,production
STR_0810,PYO_12,strain,pyoverdine,production
STR_0811,PYO_12,strain,pyoverdine,production
STR_0812,PYO_12,strain,pyoverdine,production
STR_0813,PYO_12,strain,pyoverdine,production
STR_0814,PYO_12,strain,pyoverdine,production
STR_0815,PYO_12,strain,pyoverdine,production
STR_0816,PYO_12,strain,pyoverdine,production
STR_0817,PYO_12,strain,pyoverdine,production
STR_0818,PYO_12,strain,pyoverdine,production
STR_0819,PYO_12,strain,pyoverdine,production
STR_0820,PYO_12,strain,pyoverdine,production
STR_0821,PYO_12,strain,pyoverdine,production
STR_0822,PYO_12,strain,pyoverdine,production
STR_0823,PYO_12,strain,pyoverdine,production
STR_0824,PYO_12,strain,pyoverdine,production
STR_0827,PYO_12,strain,pyoverdine,production
STR_0832,PYO_12,strain,pyoverdine,production
STR_0833,PYO_12,strain,pyoverdine,production
STR_0834,PYO_12,strain,pyoverdine,production
STR_0835,PYO_12,strain,pyoverdine,production
STR_0836,PYO_12,strain,pyoverdine,production
STR_0837,PYO_12,strain,pyoverdine,production
STR_0838,PYO_12,strain,pyoverdine,production
STR_0839,PYO_12,strain,pyoverdine,production
STR_0840,PYO_12,strain,pyoverdine,production
STR_0841,PYO_12,strain,pyoverdine,production
STR_0842,PYO_12,strain,pyoverdine,production
STR_0843,PYO_12,strain,pyoverdine,production
STR_0844,PYO_12,strain,pyoverdine,production
STR_0845,PYO_12,strain,pyoverdine,production
STR_0846,PYO_12,strain,pyoverdine,production
STR_0847,PYO_12,strain,pyoverdine,production
STR_0848,PYO_12,strain,pyoverdine,production
STR_0849,PYO_12,strain,pyoverdine,production
STR_0850,PYO_12,strain,pyoverdine,production
STR_0851,PYO_12,strain,pyoverdine,production
STR_0852,PYO_12,strain,pyoverdine,production
STR_0853,PYO_12,strain,pyoverdine,production
STR_0854,PYO_12,strain,pyoverdine,production
STR_0855,PYO_12,strain,pyoverdine,production
STR_0856,PYO_12,strain,pyoverdine,production
STR_0857,PYO_12,strain,pyoverdine,production
STR_0858,PYO_12,strain,pyoverdine,production
STR_0859,PYO_12,strain,pyoverdine,production
STR_0860,PYO_12,strain,pyoverdine,production
STR_0861,PYO_12,strain,pyoverdine,production
STR_0862,PYO_12,strain,pyoverdine,production
STR_0863,PYO_12,strain,pyoverdine,production
STR_0864,PYO_12,strain,pyoverdine,production
STR_0865,PYO_12,strain,pyoverdine,production
STR_0866,PYO_12,strain,pyoverdine,production
STR_0867,PYO_12,strain,pyoverdine,production
STR_0868,PYO_12,strain,pyoverdine,production
STR_0869,PYO_12,strain,pyoverdine,production
STR_0870,PYO_12,strain,pyoverdine,production
STR_0871,PYO_12,strain,pyoverdine,production
STR_0872,PYO_12,strain,pyoverdine,production
STR_0873,PYO_12,strain,pyoverdine,production
STR_0874,PYO_12,strain,pyoverdine,production
STR_0875,PYO_12,strain,pyoverdine,production
STR_0876,PYO_12,strain,pyoverdine,production
STR_0877,PYO_12,strain,pyoverdine,production
STR_0878,PYO_12,strain,pyoverdine,production
STR_0879,PYO_12,strain,pyoverdine,production
STR_0880,PYO_12,strain,pyoverdine,production
STR_0881,PYO_12,strain,pyoverdine,production
STR_0882,PYO_12,strain,pyoverdine,production
STR_0883,PYO_12,strain,pyoverdine,production
STR_0884,PYO_12,strain,pyoverdine,production
STR_0885,PYO_12,strain,pyoverdine,production
STR_0886,PYO_12,strain,pyoverdine,production
STR_0887,PYO_12,strain,pyoverdine,production
STR_0888,PYO_12,strain,pyoverdine,production
STR_0889,PYO_12,strain,pyoverdine,production
STR_0890,PYO_12,strain,pyoverdine,production
STR_0891,PYO_12,strain,pyoverdine,production
STR_0892,PYO_12,strain,pyoverdine,production
STR_0893,PYO_12,strain,pyoverdine,production
STR_0894,PYO_12,strain,pyoverdine,production
