source,target,source_type,target_type,edge_type
FG_110,PYO_91,functional_group,pyoverdine,production
FG_122,PYO_91,functional_group,pyoverdine,production
FG_127,PYO_91,functional_group,pyoverdine,production
FG_109,PYO_92,functional_group,pyoverdine,production
FG_172,PYO_92,functional_group,pyoverdine,production
FG_140,PYO_93,functional_group,pyoverdine,production
PYO_04,FG_001,pyoverdine,functional_group,utilization
PYO_05,FG_001,pyoverdine,functional_group,utilization
PYO_04,FG_002,pyoverdine,functional_group,utilization
PYO_05,FG_002,pyoverdine,functional_group,utilization
PYO_66,FG_002,pyoverdine,functional_group,utilization
PYO_04,FG_003,pyoverdine,functional_group,utilization
PYO_05,FG_003,pyoverdine,functional_group,utilization
PYO_12,FG_003,pyoverdine,functional_group,utilization
PYO_13,FG_003,pyoverdine,functional_group,utilization
PYO_32,FG_003,pyoverdine,functional_group,utilization
PYO_33,FG_003,pyoverdine,functional_group,utilization
PYO_34,FG_003,pyoverdine,functional_group,utilization
PYO_35,FG_003,pyoverdine,functional_group,utilization
PYO_36,FG_003,pyoverdine,functional_group,utilization
PYO_37,FG_003,pyoverdine,functional_group,utilization
PYO_38,FG_003,pyoverdine,functional_group,utilization
PYO_39,FG_003,pyoverdine,functional_group,utilization
PYO_40,FG_003,pyoverdine,functional_group,utilization
PYO_41,FG_003,pyoverdine,functional_group,utilization
PYO_42,FG_003,pyoverdine,functional_group,utilization
PYO_43,FG_003,pyoverdine,functional_group,utilization
PYO_44,FG_003,pyoverdine,functional_group,utilization
PYO_45,FG_003,pyoverdine,functional_group,utilization
PYO_81,FG_003,pyoverdine,functional_group,utilization
PYO_82,FG_003,pyoverdine,functional_group,utilization
PYO_83,FG_003,pyoverdine,functional_group,utilization
PYO_04,FG_004,pyoverdine,functional_group,utilization
PYO_05,FG_004,pyoverdine,functional_group,utilization
PYO_14,FG_004,pyoverdine,functional_group,utilization
PYO_15,FG_004,pyoverdine,functional_group,utilization
PYO_16,FG_004,pyoverdine,functional_group,utilization
PYO_17,FG_004,pyoverdine,functional_group,utilization
PYO_18,FG_004,pyoverdine,functional_group,utilization
PYO_19,FG_004,pyoverdine,functional_group,utilization
PYO_20,FG_004,pyoverdine,functional_group,utilization
PYO_04,FG_005,pyoverdine,functional_group,utilization
PYO_05,FG_005,pyoverdine,functional_group,utilization
PYO_14,FG_005,pyoverdine,functional_group,utilization
PYO_15,FG_005,pyoverdine,functional_group,utilization
PYO_16,FG_005,pyoverdine,functional_group,utilization
PYO_17,FG_005,pyoverdine,functional_group,utilization
PYO_18,FG_005,pyoverdine,functional_group,utilization
PYO_19,FG_005,pyoverdine,functional_group,utilization
PYO_20,FG_005,pyoverdine,functional_group,utilization
PYO_32,FG_005,pyoverdine,functional_group,utilization
PYO_33,FG_005,pyoverdine,functional_group,utilization
PYO_34,FG_005,pyoverdine,functional_group,utilization
PYO_35,FG_005,pyoverdine,functional_group,utilization
PYO_36,FG_005,pyoverdine,functional_group,utilization
PYO_37,FG_005,pyoverdine,functional_group,utilization
PYO_38,FG_005,pyoverdine,functional_group,utilization
PYO_39,FG_005,pyoverdine,functional_group,utilization
PYO_40,FG_005,pyoverdine,functional_group,utilization
PYO_41,FG_005,pyoverdine,functional_group,utilization
PYO_42,FG_005,pyoverdine,functional_group,utilization
PYO_43,FG_005,pyoverdine,functional_group,utilization
PYO_44,FG_005,pyoverdine,functional_group,utilization
PYO_45,FG_005,pyoverdine,functional_group,utilization
PYO_58,FG_006,pyoverdine,functional_group,utilization
PYO_59,FG_006,pyoverdine,functional_group,utilization
PYO_60,FG_006,pyoverdine,functional_group,utilization
PYO_61,FG_006,pyoverdine,functional_group,utilization
PYO_62,FG_006,pyoverdine,functional_group,utilization
PYO_63,FG_006,pyoverdine,functional_group,utilization
PYO_64,FG_006,pyoverdine,functional_group,utilization
PYO_65,FG_006,pyoverdine,functional_group,utilization
PYO_06,FG_007,pyoverdine,functional_group,utilization
PYO_07,FG_007,pyoverdine,functional_group,utilization
PYO_08,FG_007,pyoverdine,functional_group,utilization
PYO_06,FG_008,pyoverdine,functional_group,utilization
PYO_07,FG_008,pyoverdine,functional_group,utilization
PYO_08,FG_008,pyoverdine,functional_group,utilization
PYO_14,FG_008,pyoverdine,functional_group,utilization
PYO_15,FG_008,pyoverdine,functional_group,utilization
PYO_16,FG_008,pyoverdine,functional_group,utilization
PYO_17,FG_008,pyoverdine,functional_group,utilization
PYO_18,FG_008,pyoverdine,functional_group,utilization
PYO_19,FG_008,pyoverdine,functional_group,utilization
PYO_20,FG_008,pyoverdine,functional_group,utilization
PYO_06,FG_009,pyoverdine,functional_group,utilization
PYO_07,FG_009,pyoverdine,functional_group,utilization
PYO_08,FG_009,pyoverdine,functional_group,utilization
PYO_32,FG_009,pyoverdine,functional_group,utilization
PYO_33,FG_009,pyoverdine,functional_group,utilization
PYO_34,FG_009,pyoverdine,functional_group,utilization
PYO_35,FG_009,pyoverdine,functional_group,utilization
PYO_36,FG_009,pyoverdine,functional_group,utilization
PYO_37,FG_009,pyoverdine,functional_group,utilization
PYO_38,FG_009,pyoverdine,functional_group,utilization
PYO_39,FG_009,pyoverdine,functional_group,utilization
PYO_40,FG_009,pyoverdine,functional_group,utilization
PYO_41,FG_009,pyoverdine,functional_group,utilization
PYO_42,FG_009,pyoverdine,functional_group,utilization
PYO_43,FG_009,pyoverdine,functional_group,utilization
PYO_44,FG_009,pyoverdine,functional_group,utilization
PYO_45,FG_009,pyoverdine,functional_group,utilization
PYO_66,FG_010,pyoverdine,functional_group,utilization
PYO_67,FG_011,pyoverdine,functional_group,utilization
PYO_68,FG_011,pyoverdine,functional_group,utilization
PYO_69,FG_011,pyoverdine,functional_group,utilization
PYO_70,FG_011,pyoverdine,functional_group,utilization
PYO_71,FG_011,pyoverdine,functional_group,utilization
PYO_72,FG_011,pyoverdine,functional_group,utilization
PYO_12,FG_012,pyoverdine,functional_group,utilization
PYO_13,FG_012,pyoverdine,functional_group,utilization
PYO_12,FG_013,pyoverdine,functional_group,utilization
PYO_13,FG_013,pyoverdine,functional_group,utilization
PYO_81,FG_013,pyoverdine,functional_group,utilization
PYO_82,FG_013,pyoverdine,functional_group,utilization
PYO_83,FG_013,pyoverdine,functional_group,utilization
PYO_90,FG_013,pyoverdine,functional_group,utilization
PYO_91,FG_013,pyoverdine,functional_group,utilization
PYO_92,FG_013,pyoverdine,functional_group,utilization
PYO_93,FG_013,pyoverdine,functional_group,utilization
PYO_12,FG_014,pyoverdine,functional_group,utilization
PYO_13,FG_014,pyoverdine,functional_group,utilization
PYO_14,FG_014,pyoverdine,functional_group,utilization
PYO_15,FG_014,pyoverdine,functional_group,utilization
PYO_16,FG_014,pyoverdine,functional_group,utilization
PYO_17,FG_014,pyoverdine,functional_group,utilization
PYO_18,FG_014,pyoverdine,functional_group,utilization
PYO_19,FG_014,pyoverdine,functional_group,utilization
PYO_20,FG_014,pyoverdine,functional_group,utilization
PYO_32,FG_014,pyoverdine,functional_group,utilization
PYO_33,FG_014,pyoverdine,functional_group,utilization
PYO_34,FG_014,pyoverdine,functional_group,utilization
PYO_35,FG_014,pyoverdine,functional_group,utilization
PYO_36,FG_014,pyoverdine,functional_group,utilization
PYO_37,FG_014,pyoverdine,functional_group,utilization
PYO_38,FG_014,pyoverdine,functional_group,utilization
PYO_39,FG_014,pyoverdine,functional_group,utilization
PYO_40,FG_014,pyoverdine,functional_group,utilization
PYO_41,FG_014,pyoverdine,functional_group,utilization
PYO_42,FG_014,pyoverdine,functional_group,utilization
PYO_43,FG_014,pyoverdine,functional_group,utilization
PYO_44,FG_014,pyoverdine,functional_group,utilization
PYO_45,FG_014,pyoverdine,functional_group,utilization
PYO_90,FG_014,pyoverdine,functional_group,utilization
PYO_91,FG_014,pyoverdine,functional_group,utilization
PYO_92,FG_014,pyoverdine,functional_group,utilization
PYO_93,FG_014,pyoverdine,functional_group,utilization
PYO_12,FG_015,pyoverdine,functional_group,utilization
PYO_13,FG_015,pyoverdine,functional_group,utilization
PYO_14,FG_015,pyoverdine,functional_group,utilization
PYO_15,FG_015,pyoverdine,functional_group,utilization
