original_pyov_id,matrix_index,node_id,label,active_production,active_utilization,fg_production_count,fg_utilization_count,strain_production_count,strain_utilization_count,notes
38,25,PYO_25,pyov_38,TRUE,TRUE,1,32,3,387,active flags from FG nodes
39,26,PYO_26,pyov_39,TRUE,TRUE,1,32,2,387,active flags from FG nodes
40,27,PYO_27,pyov_40,TRUE,TRUE,1,32,1,387,active flags from FG nodes
41,28,PYO_28,pyov_41,TRUE,TRUE,8,32,148,387,active flags from FG nodes
42,29,PYO_29,pyov_42,TRUE,TRUE,2,3,12,15,active flags from FG nodes
51,30,PYO_30,pyov_51,TRUE,TRUE,4,6,101,103,active flags from FG nodes
52,31,PYO_31,pyov_52,TRUE,TRUE,1,6,1,103,active flags from FG nodes
53,32,PYO_32,pyov_53,TRUE,TRUE,1,61,11,272,active flags from FG nodes
54,33,PYO_33,pyov_54,TRUE,TRUE,1,61,12,272,active flags from FG nodes
55,34,PYO_34,pyov_55,TRUE,TRUE,1,61,2,272,active flags from FG nodes
56,35,PYO_35,pyov_56,TRUE,TRUE,1,61,3,272,active flags from FG nodes
57,36,PYO_36,pyov_57,TRUE,TRUE,1,61,1,272,active flags from FG nodes
58,37,PYO_37,pyov_58,TRUE,TRUE,1,61,1,272,active flags from FG nodes
59,38,PYO_38,pyov_59,TRUE,TRUE,1,61,1,272,active flags from FG nodes
60,39,PYO_39,pyov_60,TRUE,TRUE,1,61,1,272,active flags from FG nodes
61,40,PYO_40,pyov_61,TRUE,TRUE,1,61,1,272,active flags from FG nodes
62,41,PYO_41,pyov_62,TRUE,TRUE,1,61,1,272,active flags from FG nodes
63,42,PYO_42,pyov_63,TRUE,TRUE,1,61,1,272,active flags from FG nodes
64,43,PYO_43,pyov_64,TRUE,TRUE,1,61,1,272,active flags from FG nodes
65,44,PYO_44,pyov_65,TRUE,TRUE,1,61,4,272,active flags from FG nodes
66,45,PYO_45,pyov_66,TRUE,TRUE,1,61,3,272,active flags from FG nodes
68,46,PYO_46,pyov_68,TRUE,TRUE,6,6,13,13,active flags from FG nodes
69,47,PYO_47,pyov_69,TRUE,TRUE,1,4,3,18,active flags from FG nodes
70,48,PYO_48,pyov_70,TRUE,TRUE,1,4,2,18,active flags from FG nodes
85,49,PYO_49,pyov_85,TRUE,TRUE,4,4,11,11,active flags from FG nodes
87,50,PYO_50,pyov_87,TRUE,TRUE,7,25,21,55,active flags from FG nodes
88,51,PYO_51,pyov_88,TRUE,TRUE,1,25,2,55,active flags from FG nodes
89,52,PYO_52,pyov_89,TRUE,TRUE,1,25,1,55,active flags from FG nodes
97,53,PYO_53,pyov_97,TRUE,TRUE,1,9,9,34,active flags from FG nodes
98,54,PYO_54,pyov_98,TRUE,TRUE,2,9,2,34,active flags from FG nodes
103,55,PYO_55,pyov_103,TRUE,TRUE,1,4,1,19,active flags from FG nodes
104,56,PYO_56,pyov_104,TRUE,TRUE,1,4,2,19,active flags from FG nodes
105,57,PYO_57,pyov_105,TRUE,TRUE,2,4,16,19,active flags from FG nodes
113,58,PYO_58,pyov_113,TRUE,TRUE,1,14,1,49,active flags from FG nodes
114,59,PYO_59,pyov_114,TRUE,TRUE,1,14,1,49,active flags from FG nodes
115,60,PYO_60,pyov_115,TRUE,TRUE,3,14,25,49,active flags from FG nodes
116,61,PYO_61,pyov_116,TRUE,TRUE,1,14,2,49,active flags from FG nodes
117,62,PYO_62,pyov_117,TRUE,TRUE,2,14,7,49,active flags from FG nodes
118,63,PYO_63,pyov_118,TRUE,TRUE,1,14,4,49,active flags from FG nodes
119,64,PYO_64,pyov_119,TRUE,TRUE,1,14,1,49,active flags from FG nodes
120,65,PYO_65,pyov_120,TRUE,TRUE,1,14,2,49,active flags from FG nodes
216,66,PYO_66,pyov_216,TRUE,TRUE,2,11,5,37,active flags from FG nodes
218,67,PYO_67,pyov_218,TRUE,TRUE,2,9,3,18,active flags from FG nodes
219,68,PYO_68,pyov_219,TRUE,TRUE,1,9,1,18,active flags from FG nodes
220,69,PYO_69,pyov_220,TRUE,TRUE,1,9,1,18,active flags from FG nodes
221,70,PYO_70,pyov_221,TRUE,TRUE,1,9,3,18,active flags from FG nodes
222,71,PYO_71,pyov_222,TRUE,TRUE,1,9,1,18,active flags from FG nodes
223,72,PYO_72,pyov_223,TRUE,TRUE,1,9,4,18,active flags from FG nodes
228,73,PYO_73,pyov_228,TRUE,TRUE,2,4,4,6,active flags from FG nodes
229,74,PYO_74,pyov_229,TRUE,TRUE,1,4,1,6,active flags from FG nodes
230,75,PYO_75,pyov_230,TRUE,TRUE,1,4,1,6,active flags from FG nodes
249,76,PYO_76,pyov_249,TRUE,TRUE,1,7,13,52,active flags from FG nodes
250,77,PYO_77,pyov_250,TRUE,TRUE,2,7,28,52,active flags from FG nodes
251,78,PYO_78,pyov_251,TRUE,TRUE,1,7,4,52,active flags from FG nodes
252,79,PYO_79,pyov_252,TRUE,TRUE,2,7,6,52,active flags from FG nodes
255,80,PYO_80,pyov_255,TRUE,TRUE,3,5,13,16,active flags from FG nodes
264,81,PYO_81,pyov_264,TRUE,TRUE,2,13,2,84,active flags from FG nodes
265,82,PYO_82,pyov_265,TRUE,TRUE,1,13,1,84,active flags from FG nodes
266,83,PYO_83,pyov_266,TRUE,TRUE,1,13,2,84,active flags from FG nodes
267,84,PYO_84,pyov_267,TRUE,TRUE,1,4,1,10,active flags from FG nodes
268,85,PYO_85,pyov_268,TRUE,TRUE,1,4,1,10,active flags from FG nodes
269,86,PYO_86,pyov_269,TRUE,TRUE,1,4,2,10,active flags from FG nodes
270,87,PYO_87,pyov_270,TRUE,TRUE,1,4,6,10,active flags from FG nodes
273,88,PYO_88,pyov_273,TRUE,TRUE,4,5,65,66,active flags from FG nodes
274,89,PYO_89,pyov_274,TRUE,TRUE,1,5,1,66,active flags from FG nodes
275,90,PYO_90,pyov_275,TRUE,TRUE,3,38,108,297,active flags from FG nodes
276,91,PYO_91,pyov_276,TRUE,TRUE,3,38,53,297,active flags from FG nodes
277,92,PYO_92,pyov_277,TRUE,TRUE,2,38,3,297,active flags from FG nodes
278,93,PYO_93,pyov_278,TRUE,TRUE,1,38,1,297,active flags from FG nodes
